security,code,date1,date2,price,,
1，佳电股份,000922,2014.4.22,2017.4.7,7.58元,,
2，超华科技,002288,2015.4.29,2017.9.4,6.62元,,
3，澄星股份,600078,2012.3.29,2015.12.22,6.46元,,
4，三房巷,600370,2015.3.31,2017.3.9,4.72元,,
5，山东墨龙,002490,2015.4.25,2017.3.21,6.84元,,
6，亿晶光电,600537,2017.2.3,2017.4.14,5.23元,,
7，宝利国际,300135,2015.7.4,2015.11.24,9.06元,,
8，方正证券,601901,2011.8.9,2015.7.14,7.88元,,
9，方正科技,600601,2005.3.19,2015.11.19,6.42元,,
10，嘉寓股份,300117,2010.8.20,2015.6.12,10.01,,
11，祥源文化,600576,2017.1.12,2017.2.27,15.5元,,
12、中国高科,600730,2013.4.27,2015.7.23,22.43元,,
13，鞍重股份,002667,2016.4.23,2017.3.10,22.97元,,
14，恒顺众N,300208,2014.8.26,2015.8.3,59.42元,,
15，匹凸匹,600696,2015.5.11,2017.2.23,8.45元,,
16，太化股份,600281,2015.4.28,2016.1.28,5.79元,,
17，山西三维,000755,2014.8.13,2018.4.17,4.65元,,
"18,中水渔业",000798,2015.8.28,2016.3.29,11.66元,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
